"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1001","Некорректное создание пользователя (не передается пароль)","tests","Fri Jul 04 08:50:29 GMT 2025","passed","Fri Jul 04 08:50:30 GMT 2025","TestUsers","test_users","",""
"","1903","Корректный поиск игр (имя не передается)","tests","Fri Jul 04 08:50:19 GMT 2025","passed","Fri Jul 04 08:50:21 GMT 2025","TestGames","test_games","",""
"","945","Корректный поиск игр (имя несуществующей игры)","tests","Fri Jul 04 08:50:22 GMT 2025","passed","Fri Jul 04 08:50:23 GMT 2025","TestGames","test_games","",""
"","778","Некорректное создание пользователя (не передается имя)","tests","Fri Jul 04 08:50:28 GMT 2025","passed","Fri Jul 04 08:50:29 GMT 2025","TestUsers","test_users","",""
"","2105","Корректное создание пользователя с проверкой","tests","Fri Jul 04 08:50:26 GMT 2025","passed","Fri Jul 04 08:50:28 GMT 2025","TestUsers","test_users","",""
"","1178","Корректное получение всех пользователей","tests","Fri Jul 04 08:50:31 GMT 2025","passed","Fri Jul 04 08:50:32 GMT 2025","TestUsers","test_users","",""
"","2223","Корректное получение всех игр","tests","Fri Jul 04 08:50:17 GMT 2025","passed","Fri Jul 04 08:50:19 GMT 2025","TestGames","test_games","",""
"","871","Корректный поиск игр (имя существующей игры)","tests","Fri Jul 04 08:50:21 GMT 2025","passed","Fri Jul 04 08:50:22 GMT 2025","TestGames","test_games","",""
"","2988","Получение существующей игры по id","tests","Fri Jul 04 08:50:23 GMT 2025","passed","Fri Jul 04 08:50:26 GMT 2025","TestGames","test_games","",""
"","726","Некорректное создание пользователя (не передается почта)","tests","Fri Jul 04 08:50:30 GMT 2025","passed","Fri Jul 04 08:50:31 GMT 2025","TestUsers","test_users","",""
"","722","Некорректное создание пользователя (не передается никнейм)","tests","Fri Jul 04 08:50:28 GMT 2025","passed","Fri Jul 04 08:50:28 GMT 2025","TestUsers","test_users","",""
